link,street,city,state,zip,year,price
https://www.trulia.com/property/3260697580-476-Liberty-Ave-Jersey-City-NJ-07307,476 Liberty Ave,Jersey City,NJ,7307,n/a,"422,500"
https://www.trulia.com/property/3259727744-628-Communipaw-Ave-Jersey-City-NJ-07304,628 Communipaw Ave,Jersey City,NJ,7304,n/a,"400,000"
https://www.trulia.com/property/3259866111-157-South-St-Jersey-City-NJ-07307,157 South St,Jersey City,NJ,7307,n/a,"418,000"
https://www.trulia.com/property/1034049675-122-Van-Nostrand-Ave-Jersey-City-NJ-07305,122 Van Nostrand Ave,Jersey City,NJ,7305,n/a,"299,000"
https://www.trulia.com/property/3262028800-48-Rutgers-Ave-Jersey-City-NJ-07305,48 Rutgers Ave,Jersey City,NJ,7305,n/a,"249,000"
https://www.trulia.com/property/3260786407-387-Monmouth-St-Jersey-City-NJ-07302,387 Monmouth St,Jersey City,NJ,7302,n/a,"1,599,000"
https://www.trulia.com/property/3262211789-126-Webster-Ave-3E-Jersey-City-NJ-07307,126 Webster Ave #3E,Jersey City,NJ,7307,n/a,"750,000"
https://www.trulia.com/property/3261172473-243-Arlington-Ave-Jersey-City-NJ-07305,243 Arlington Ave,Jersey City,NJ,7305,n/a,"68,000"
https://www.trulia.com/property/3115179020-260-Harrison-Ave-207-Jersey-City-NJ-07304,260 Harrison Ave #207,Jersey City,NJ,7304,n/a,"274,000"
https://www.trulia.com/property/3243143269-9-Seidler-St-Jersey-City-NJ-07304,9 Seidler St,Jersey City,NJ,7304,n/a,"169,000"
https://www.trulia.com/property/3260685686-56-Erie-St-Jersey-City-NJ-07302,56 Erie St,Jersey City,NJ,7302,n/a,"899,000"
https://www.trulia.com/property/3260075766-43-Van-Wagenen-Ave-3C-Jersey-City-NJ-07306,43 Van Wagenen Ave #3C,Jersey City,NJ,7306,n/a,"309,000"
https://www.trulia.com/property/3261247123-492-Liberty-Ave-Jersey-City-NJ-07307,492 Liberty Ave,Jersey City,NJ,7307,n/a,"869,998"
https://www.trulia.com/property/3231241682-40-Sycamore-Rd-Jersey-City-NJ-07305,40 Sycamore Rd,Jersey City,NJ,7305,n/a,"339,000"
https://www.trulia.com/property/3119040299-59-Saint-Pauls-Ave-1L-Jersey-City-NJ-07306,59 Saint Pauls Ave #1L,Jersey City,NJ,7306,n/a,"239,000"
https://www.trulia.com/property/3146899605-208-Clendenny-Ave-Jersey-City-NJ-07304,208 Clendenny Ave,Jersey City,NJ,7304,n/a,"85,000"
https://www.trulia.com/property/3121400922-306-2nd-St-2A-Jersey-City-NJ-07302,306 2nd St #2A,Jersey City,NJ,7302,n/a,"572,000"
https://www.trulia.com/property/3041893699-33-Long-St-2L-Jersey-City-NJ-07305,33 Long St #2L,Jersey City,NJ,7305,n/a,"155,000"
https://www.trulia.com/property/3259831958-30-Constitution-Way-105-Jersey-City-NJ-07305,30 Constitution Way #105,Jersey City,NJ,7305,n/a,"269,000"
https://www.trulia.com/property/3261499601-54-Glenwood-Ave-46-Jersey-City-NJ-07306,54 Glenwood Ave #46,Jersey City,NJ,7306,n/a,"239,000"
https://www.trulia.com/property/3260399822-187-Wayne-St-402C-Jersey-City-NJ-07302,187 Wayne St #402C,Jersey City,NJ,7302,n/a,"539,000"
https://www.trulia.com/property/3261662399-237-Wegman-Pkwy-Jersey-City-NJ-07305,237 Wegman Pkwy,Jersey City,NJ,7305,n/a,"275,000"
https://www.trulia.com/property/3260756950-237-Bartholdi-Ave-Jersey-City-NJ-07305,237 Bartholdi Ave,Jersey City,NJ,7305,n/a,"330,000"
https://www.trulia.com/property/1039493006-206-Shearwater-Ct-W-51-Jersey-City-NJ-07305,206 Shearwater Ct W #51,Jersey City,NJ,7305,n/a,"359,000"
https://www.trulia.com/property/3230609764-231-1st-St-1A-Jersey-City-NJ-07302,231 1st St #1A,Jersey City,NJ,7302,n/a,"1,065,000"
https://www.trulia.com/property/3262008504-277-Harrison-Ave-E7-Jersey-City-NJ-07304,277 Harrison Ave #E7,Jersey City,NJ,7304,n/a,"229,000"
https://www.trulia.com/property/3261846586-52-Beacon-Ave-Jersey-City-NJ-07306,52 Beacon Ave,Jersey City,NJ,7306,n/a,"600,000"
https://www.trulia.com/property/1073188602-238-Ogden-Ave-4-Jersey-City-NJ-07307,238 Ogden Ave #4,Jersey City,NJ,7307,n/a,"150,000"
https://www.trulia.com/property/3017483639-15-Bleecker-St-Jersey-City-NJ-07307,15 Bleecker St,Jersey City,NJ,7307,n/a,"753,888"
https://www.trulia.com/property/3262321033-88-Morgan-St-1409-Jersey-City-NJ-07302,88 Morgan St #1409,Jersey City,NJ,7302,n/a,"709,000"
https://www.trulia.com/property/3210689852-63-Van-Reipen-Ave-Jersey-City-NJ-07306,63 Van Reipen Ave,Jersey City,NJ,7306,1925,"899,000"
https://www.trulia.com/property/3258097463-96-A-Suburbia-Dr-Jersey-City-NJ-07305,96 A Suburbia Dr,Jersey City,NJ,7305,1970,"177,851"
https://www.trulia.com/property/3261586155-275-Harrison-Ave-B5-Jersey-City-NJ-07304,275 Harrison Ave #B5,Jersey City,NJ,7304,n/a,"175,000"
https://www.trulia.com/property/3236003749-187-Wayne-St-104-C-Jersey-City-NJ-07302,187 Wayne St #104 C,Jersey City,NJ,7302,n/a,"499,000"
https://www.trulia.com/property/3260681296-207-Thorne-St-Jersey-City-NJ-07307,207 Thorne St,Jersey City,NJ,7307,n/a,"595,000"
