city,square_feet,price,type
1,975,575000,1
1,975,575000,1
1,975,575000,1
1,975,575000,1
1,975,575000,1
1,975,575000,1
1,975,575000,1
1,975,575000,1
1,800,579000,1
0,1550,579000,1
0,770,579000,0
1,760,580000,0
1,815,585000,0
0,1780,585000,1
2,1780,585000,0
2,1780,585000,0
2,1780,585000,1
2,1780,585000,1
2,1780,585000,1
2,1780,585000,1
2,1780,585000,1
2,1780,585000,1
2,1780,585000,1
2,1780,585000,1
2,1780,585000,1
2,1780,585000,1
1,1780,585000,1
1,1780,585000,1
1,1780,585000,1
1,1780,585000,1
1,1780,585000,1
1,1780,585000,1
1,1780,585000,1
1,1780,585000,1
2,1050,589000,0
1,887,599000,1
0,1050,599000,1
0,1325,599000,0
2,1050,599000,0
1,1387,615000,1
2,678,618000,0
1,849,619000,0
0,697,621800,1
0,739,624900,1
2,1625,624999,0
0,836,625000,1
2,836,625000,0
2,836,625000,0
2,836,625000,1
2,836,625000,1
2,836,625000,1
2,836,625000,1
2,836,625000,1
2,836,625000,1
2,836,625000,1
2,836,625000,1
2,836,625000,1
2,836,625000,1
1,836,625000,1
1,836,625000,1
1,836,625000,1
1,836,625000,1
1,836,625000,1
1,836,625000,1
1,836,625000,1
1,836,625000,1
1,2020,629000,1
0,1589,629000,1
0,1278,640000,1
0,738,645000,1
0,2150,645000,1
1,1700,650000,1
0,1300,650000,1
0,600,650000,1
0,765,659000,1
0,724,662000,1
1,1300,670000,0
0,1644,675000,1
2,1129,675000,0
2,1129,675000,0
0,780,678000,1
0,1915,679900,1
2,1750,684999,0
0,1900,685000,1
0,674,688000,1
0,2134,689000,1
0,1710,695000,1
0,1710,695000,1
1,810,699000,1
1,1036,699000,1
0,757,699000,1
2,810,699000,0
2,810,699000,0
2,810,699000,1
2,810,699000,1
2,810,699000,1
2,810,699000,1
2,810,699000,1
2,810,699000,1
2,810,699000,1
2,810,699000,1
2,810,699000,1
2,810,699000,1
1,810,699000,1
1,810,699000,1
1,810,699000,1
1,810,699000,1
1,810,699000,1
1,810,699000,1
1,810,699000,1
1,810,699000,1
1,1211,699999,1
1,1246,709000,0
1,843,709000,0
0,1246,709000,1
1,837,718888,0
1,1654,719000,0
0,696,719500,1
0,691,719500,0
0,1950,725000,1
0,770,735000,1
1,1250,739000,0
1,1055,740000,1
0,837,748800,1
0,837,748888,1
0,886,749000,1
0,1000,749990,1
0,881,749999,1
1,1655,750000,0
1,1055,775000,0
1,1181,775000,1
2,918,785000,0
2,852,788000,0
0,864,788888,1
0,1373,789000,1
0,840,789888,1
1,1227,798000,1
0,1350,799000,1
0,1240,799000,1
0,1900,799000,0
1,1680,800000,1
0,1371,815000,1
0,1440,819000,1
1,1471,825000,1
2,872,825000,0
0,1095,829900,0
1,1188,849000,1
0,997,849900,1
0,936,850000,1
2,968,859000,0
0,1047,860000,1
2,2468,869000,0
0,840,869500,1
0,840,869500,0
1,1500,875000,1
2,1500,875000,0
0,1377,879000,1
2,1377,879000,0
2,1377,879000,0
2,1377,879000,1
2,1377,879000,1
2,1377,879000,1
2,1377,879000,1
2,1377,879000,1
2,1377,879000,1
2,1377,879000,1
2,1377,879000,1
2,1377,879000,1
2,1377,879000,1
1,1377,879000,1
1,1377,879000,1
1,1377,879000,1
1,1377,879000,1
1,1377,879000,1
1,1377,879000,1
1,1377,879000,1
1,1377,879000,0
1,1850,899000,0
0,942,899000,1
0,1411,899000,1
0,2736,899000,0
2,1411,899000,0
2,1411,899000,0
2,1411,899000,1
2,1411,899000,1
2,1411,899000,1
2,1411,899000,1
2,1411,899000,1
2,1411,899000,1
2,1411,899000,1
2,1411,899000,1
2,1411,899000,1
2,1411,899000,1
1,1411,899000,1
1,1411,899000,1
1,1411,899000,1
1,1411,899000,1
1,1411,899000,1
1,1411,899000,1
1,1411,899000,1
1,1411,899000,1
1,1640,910000,1
1,1377,919000,1
2,1072,919900,0
0,1221,925000,1
0,1017,941000,1
1,1155,949000,1
2,2760,979000,0
1,915,985000,1
0,1230,985000,1
0,1158,985000,1
2,1486,985000,0
2,1201,998000,0
1,1275,999000,1
1,1203,999888,0
0,1158,999999,1
2,930,999999,0
1,1181,1025000,1
1,1185,1025000,1
2,1172,1041000,0
1,1062,1065000,0
2,1118,1079000,0
2,1050,1150000,0
2,1370,1168000,0
2,1525,1199000,0
0,1335,1200000,1
0,1125,1200000,0
2,1132,1200000,0
1,1423,1228000,1
1,1486,1268888,1
0,4210,1289000,0
0,1321,1299000,1
1,1263,1349500,1
1,2700,1395000,1
0,1500,1395000,1
2,1680,1408000,0
2,1680,1408000,0
0,1500,1495000,1
0,2228,1498000,1
1,1812,1500000,1
1,2082,1549000,0
1,1503,1550000,1
0,1619,1579000,1
0,1555,1600000,1
0,1510,1625000,0
2,1805,1652000,0
0,1510,1799998,1
0,1680,1900000,1
0,1574,1999500,1
2,1574,1999500,0
0,1175,1999888,1
1,1371,2050000,1
2,1371,2050000,0
2,1371,2050000,0
2,1371,2050000,1
2,1371,2050000,1
2,1371,2050000,1
