link,street,city,state,zip,square_feet,price,bedrooms,bathroom,type
https://www.trulia.com/property/3260681296-207-Thorne-St-Jersey-City-NJ-07307,207 Thorne St,Jersey City,NJ,7307,n/a,"595,000",8 Bedrooms,3 full Bathrooms,Multi-Family
https://www.trulia.com/property/3261986238-109-Shearwater-Ct-E-44-Jersey-City-NJ-07305,109 Shearwater Ct E #44,Jersey City,NJ,7305,"1,035","375,000",1 Bedroom,"1 full, 1 partial Bathrooms",Condo
https://www.trulia.com/property/3259837928-205-10th-St-3A-Jersey-City-NJ-07302,205 10th St #3A,Jersey City,NJ,7302,"1,680","800,000",2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3260671744-207-Shearwater-Ct-W-54-Jersey-City-NJ-07305,207 Shearwater Ct W #54,Jersey City,NJ,7305,"1,350","419,000",2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3260528791-608-Bramhall-Ave-1B-Jersey-City-NJ-07304,608 Bramhall Ave #1B,Jersey City,NJ,7304,853,"169,900",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3262171027-149-Grant-Ave-3C-Jersey-City-NJ-07305,149 Grant Ave #3C,Jersey City,NJ,7305,851,"125,000",2 Bedrooms,1 full Bathroom,Condo
https://www.trulia.com/property/3208414165-44-Beacon-Ave-1F-Jersey-City-NJ-07306,44 Beacon Ave #1F,Jersey City,NJ,7306,800,"274,000",2 Bedrooms,"1 full, 1 partial Bathrooms",Condo
https://www.trulia.com/property/1070437698-295-Virginia-Ave-Jersey-City-NJ-07304,295 Virginia Ave,Jersey City,NJ,7304,n/a,"310,000",3 Bedrooms,2 full Bathrooms,Single-Family Home
https://www.trulia.com/property/3012072569-126-Dudley-St-220-Jersey-City-NJ-07302,126 Dudley St #220,Jersey City,NJ,7302,"1,275","999,000",2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3061973509-26-Sherman-Ave-Jersey-City-NJ-07307,26 Sherman Ave,Jersey City,NJ,7307,n/a,"345,000",5 Bedrooms,Multi-Family,
https://www.trulia.com/property/3259911159-4-Beacon-Way-300-Jersey-City-NJ-07304,4 Beacon Way #300,Jersey City,NJ,7304,n/a,"199,000",1 full Bathroom,Condo,Skylight
https://www.trulia.com/property/3260716521-44-Beacon-Ave-Jersey-City-NJ-07306,44 Beacon Ave,Jersey City,NJ,7306,n/a,"285,000",2 Bedrooms,2 full Bathrooms,Condo
https://www.trulia.com/property/3260619625-323-Van-Nostrand-Ave-Jersey-City-NJ-07305,323 Van Nostrand Ave,Jersey City,NJ,7305,n/a,"399,999",3 Bedrooms,4 full Bathrooms,Single-Family Home
