street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
50 N Jefferson St,7050,Orange,NJ,Essex,40.776847,-74.236437,MultiFamily2To4,2015,244081,1901,2178,NA,2,5,4/17/17,154000,53733,city,Orange
26 Curtis Pl,7040,Maplewood,NJ,Essex,40.732667,-74.283664,SingleFamily,2015,965674,1909,17998,2887,4,5,4/17/17,1310000,39616,city,Maplewood
19 Western Dr,7078,Short Hills,NJ,Essex,40.734024,-74.324722,SingleFamily,2015,2633452,1913,58806,5000,6,6,4/17/17,1795000,13829,city,Short Hills
44 Grosvenor Rd,7078,Short Hills,NJ,Essex,40.739476,-74.318553,SingleFamily,2015,2567670,1929,31999,6000,6,5,4/17/17,2450000,13829,city,Short Hills
41 Delaware Ave,7003,Bloomfield,NJ,Essex,40.785317,-74.194936,MultiFamily2To4,2015,257407,1900,3700,1480,3,4,4/17/17,360000,3699,city,Bloomfield
272 Linden Ave,7109,Belleville,NJ,Essex,40.80341,-74.148744,SingleFamily,2015,278064,1946,5662,1260,2,4,4/17/17,290500,37362,city,Belleville
9 Montgomery St UNIT A1,7109,Belleville,NJ,Essex,40.793295,-74.178524,Condominium,2015,151259,NA,283140,NA,NA,NA,4/17/17,185000,37362,city,Belleville
12 Kinder Dr,7003,Bloomfield,NJ,Essex,40.83759,-74.171808,SingleFamily,2015,481614,1987,5227,NA,3,4,4/17/17,410000,3699,city,Bloomfield
21 Powell Dr,7052,West Orange,NJ,Essex,40.780187,-74.282417,SingleFamily,2015,494445,1969,15002,2380,4,4,4/16/17,465000,16216,city,West Orange
20 Grove St,7003,Bloomfield,NJ,Essex,40.774262,-74.193845,SingleFamily,2015,222106,1950,3484,1162,2,3,4/14/17,149900,3699,city,Bloomfield
15 Burr Rd,7040,Maplewood,NJ,Essex,40.733608,-74.25785,SingleFamily,2015,489669,1930,8276,2210,4,5,4/14/17,825000,39616,city,Maplewood
17 Whittingham Ter,7041,Millburn,NJ,Essex,40.723754,-74.304795,SingleFamily,2015,846356,1985,7601,2191,3,4,4/14/17,980000,36150,city,Millburn
247 Springdale Ave,7017,East Orange,NJ,Essex,40.76966,-74.201054,MultiFamily2To4,2015,192992,1925,7405,2124,2,4,4/14/17,170000,51806,city,East Orange
207 Metzger Dr,7052,West Orange,NJ,Essex,40.77105,-74.292476,Condominium,2015,901152,2009,NA,2662,3,2,4/14/17,985000,16216,city,West Orange
8 Northview Ter,7040,Maplewood,NJ,Essex,40.721053,-74.27873,SingleFamily,2015,334592,1951,4791,NA,3,3,4/14/17,560000,39616,city,Maplewood
293 Leslie St,7112,Newark,NJ,Essex,40.713962,-74.220518,MultiFamily2To4,2015,165037,1925,3001,2700,2,4,4/14/17,208500,275941,neighborhood,Weequahic
3 Tuscan Rd,7040,Maplewood,NJ,Essex,40.726675,-74.2735,SingleFamily,2015,347923,1926,12632,NA,1,3,4/14/17,547500,39616,city,Maplewood
1 Winthrop Pl,7040,Maplewood,NJ,Essex,40.729225,-74.280941,SingleFamily,2015,514108,1918,6800,2400,4,5,4/14/17,920000,39616,city,Maplewood
29 Van Rensselear St,7109,Belleville,NJ,Essex,40.783213,-74.155394,SingleFamily,2016,171963,1897,2500,1289,1,2,4/14/17,150000,37362,city,Belleville
115 New St,7109,Belleville,NJ,Essex,40.79169,-74.15887,SingleFamily,2015,270223,1927,4791,1663,2,4,4/14/17,260000,37362,city,Belleville
100 Bellevue Ter,7003,Bloomfield,NJ,Essex,40.841193,-74.185091,SingleFamily,2015,348602,1955,7405,1589,3,3,4/14/17,470000,3699,city,Bloomfield
86 Jacoby St,7040,Maplewood,NJ,Essex,40.719955,-74.253003,SingleFamily,2016,199156,1928,5662,1346,2,3,4/13/17,379500,39616,city,Maplewood
14 Exeter Rd,7078,Short Hills,NJ,Essex,40.757489,-74.307104,SingleFamily,2015,808946,1940,10441,1352,2,3,4/13/17,739000,13829,city,Short Hills
22 Rosedale Ave,7041,Millburn,NJ,Essex,40.725277,-74.287091,SingleFamily,2015,501659,1925,3920,1674,2,3,4/13/17,640000,36150,city,Millburn
103 Metzger Dr,7052,West Orange,NJ,Essex,40.770786,-74.292973,Townhouse,2015,761160,2009,NA,2501,3,2,4/13/17,937500,16216,city,West Orange
74 Whiteoak Dr,7079,South Orange,NJ,Essex,40.754143,-74.277226,SingleFamily,2015,577804,1952,14810,NA,5,4,4/13/17,985000,34059,city,South Orange
58 Grant Ave,7110,Nutley,NJ,Essex,40.814162,-74.142192,SingleFamily,2015,305292,1947,6098,854,2,2,4/13/17,265000,13056,city,Nutley
101 Inwood Ave,7043,Montclair,NJ,Essex,40.843812,-74.195341,SingleFamily,2015,955206,NA,NA,NA,5,6,4/13/17,1040000,39839,city,Montclair
55 Beech St,7009,Cedar Grove,NJ,Essex,40.862527,-74.234594,SingleFamily,2015,391379,1947,5662,1490,2,3,4/13/17,440000,14839,city,Cedar Grove
35 Clara Pl,7009,Cedar Grove,NJ,Essex,40.844852,-74.230934,SingleFamily,2015,296689,1950,5227,1377,2,3,4/13/17,369900,14839,city,Cedar Grove
73 Mount Prospect Ave,7044,Verona,NJ,Essex,40.822143,-74.235915,SingleFamily,2015,781756,1919,19602,2910,3.5,5,4/13/17,489000,43078,city,Verona
15 Augusta St,7111,Irvington,NJ,Essex,40.725273,-74.226921,SingleFamily,2016,165978,1887,3484,NA,3,5,4/12/17,79900,12067,city,Irvington
37 Whittingham Pl,7052,West Orange,NJ,Essex,40.77456,-74.241922,MultiFamily2To4,2015,257149,1950,4791,2167,3,4,4/12/17,305000,16216,city,West Orange
43 N 18th St,7017,East Orange,NJ,Essex,40.759553,-74.199337,MultiFamily2To4,2015,194883,1920,2617,2620,3,5,4/12/17,60000,415711,neighborhood,Greenwood
24 Llewellyn Ave,7052,West Orange,NJ,Essex,40.788097,-74.23254,MultiFamily2To4,2016,247711,1926,2613,1566,2,4,4/12/17,320000,16216,city,West Orange
28 Carolyn Rd,7109,Belleville,NJ,Essex,40.808107,-74.169242,SingleFamily,2015,241230,1959,7369,982,2,2,4/12/17,245000,37362,city,Belleville
280 Littleton Ave,7103,Newark,NJ,Essex,40.73732,-74.196567,MultiFamily2To4,2015,142656,1914,2613,2628,NA,0,4/11/17,115000,275990,neighborhood,West Side
10 Sycamore Ave,7039,Livingston,NJ,Essex,40.772061,-74.307973,SingleFamily,2015,344316,1951,9601,1084,NA,NA,4/11/17,337000,56428,city,Livingston
57 Spring St,7003,Bloomfield,NJ,Essex,40.803537,-74.189881,MultiFamily2To4,2015,312881,1909,5662,2504,4,6,4/11/17,349500,3699,city,Bloomfield
39 Benson St,7003,Bloomfield,NJ,Essex,40.804783,-74.196745,SingleFamily,2015,375079,1904,6098,2080,3,5,4/11/17,445000,3699,city,Bloomfield
17 Earl St,7114,Newark,NJ,Essex,40.719466,-74.188382,MultiFamily5Plus,2016,174258,1900,2613,1250,1,4,11/14/16,60500,275415,neighborhood,South Broad Street
33 Mount Vernon Pl,7106,Newark,NJ,Essex,40.735994,-74.238542,SingleFamily,2015,146132,1927,3484,1384,NA,3,11/17/16,136000,12970,city,Newark
583 N 7th St,7107,Newark,NJ,Essex,40.770022,-74.181825,Condominium,2015,219904,1902,2500,2601,NA,NA,9/21/16,340000,275830,neighborhood,Upper Roseville
192 Littleton Ave,7103,Newark,NJ,Essex,40.74051,-74.19517,MultiFamily2To4,2015,208062,1930,2613,2325,2,4,4/15/16,299670,273684,neighborhood,Fairmuont
319 Lake St,7104,Newark,NJ,Essex,40.761653,-74.178108,MultiFamily2To4,2016,272883,2005,3484,2964,6,9,10/31/05,558000,275335,neighborhood,Seventh Avenue
378 Lafayette St,7105,Newark,NJ,Essex,40.7262,-74.156017,MultiFamily5Plus,2015,277597,1895,NA,2984,1,2,9/30/16,330000,274724,neighborhood,North Ironbound
