street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
339 Paxton St,7503,Paterson,NJ,Passaic,40.89393,-74.161732,SingleFamily,2015,160478,NA,2500,1408,NA,NA,4/13/17,95000,7165,neighborhood,South Paterson
104 Sturbridge Cir,7470,Wayne,NJ,Passaic,40.974067,-74.23852,SingleFamily,2015,531758,1980,19602,2417,4,4,4/13/17,655000,27808,city,Wayne
57 Norwood Ter,7512,Totowa,NJ,Passaic,40.894611,-74.202712,SingleFamily,2015,99600,1940,4791,1456,1,3,4/13/17,90500,NA,NA,NA
47 Minns Ave,7470,Wayne,NJ,Passaic,40.937664,-74.198272,SingleFamily,2015,250090,1900,5227,NA,2,3,4/13/17,339000,27808,city,Wayne
19 Catherine St,7403,Bloomingdale,NJ,Passaic,41.007876,-74.343984,SingleFamily,2015,252806,1900,NA,1800,2,3,4/13/17,255000,51034,city,Bloomingdale
54 N 13th St,7506,Hawthorne,NJ,Passaic,40.940113,-74.167625,SingleFamily,2015,271752,1900,5001,1472,NA,NA,4/13/17,295000,25074,city,Hawthorne
9 Haddon Rd,7470,Wayne,NJ,Passaic,40.963863,-74.270027,SingleFamily,2015,438650,NA,16117,NA,2,4,4/13/17,530000,27808,city,Wayne
87 Robin Hood Way,7470,Wayne,NJ,Passaic,40.951129,-74.256835,SingleFamily,2015,493504,1985,14985,2380,NA,NA,4/13/17,500000,27808,city,Wayne
28 Eastside Ave,7465,Wanaque,NJ,Passaic,41.056397,-74.285001,SingleFamily,2015,363779,1978,14810,NA,3,4,4/13/17,410000,30048,city,Wanaque
411 Montclair Ave,7442,Pompton Lakes,NJ,Passaic,41.007547,-74.298817,SingleFamily,2015,214882,1942,11325,NA,1,2,4/13/17,305000,53952,city,Pompton Lakes
126 Montgomery St,7501,Paterson,NJ,Passaic,40.924644,-74.161239,SingleFamily,2015,94949,1900,2613,1039,2.5,2,4/13/17,64000,764251,neighborhood,Wrigley Park
39 8th Ave,7055,Passaic,NJ,Passaic,40.860828,-74.13977,SingleFamily,2015,328630,NA,3498,NA,NA,NA,11/28/12,250000,19870,city,Passaic
701 E 29th St,7504,Paterson,NJ,Passaic,40.911873,-74.146691,SingleFamily,2015,127353,1940,2613,1482,NA,3,4/13/17,52500,764248,neighborhood,Eastside
42 Sturr St,7508,North Haledon,NJ,Passaic,40.96243,-74.188997,SingleFamily,2015,425030,1967,17341,1865,4,3,4/13/17,415000,26185,city,North Haledon
4 Hampton Ter,7470,Wayne,NJ,Passaic,40.959327,-74.266441,SingleFamily,2015,456333,1962,15638,1934,2,4,4/13/17,465000,27808,city,Wayne
