street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
162 E 17th St,7524,Paterson,NJ,Passaic,40.933341,-74.152397,MultiFamily2To4,2015,198539,1960,2613,NA,2,4,6/5/12,1000,190055,neighborhood,Riverside
428 Midland Ave,7442,Pompton Lakes,NJ,Passaic,41.007224,-74.29829,MultiFamily2To4,2015,321778,1965,7418,1972,3,5,2/14/17,316000,53952,city,Pompton Lakes
510 E 40th St,7504,Paterson,NJ,Passaic,40.905403,-74.138165,SingleFamily,2015,303570,1940,2613,2425,2,6,2/14/17,100000,764249,neighborhood,Eastside Park Historic District
115 Fayette Ave,7470,Wayne,NJ,Passaic,40.911038,-74.266484,SingleFamily,2015,133346,1928,8102,972,NA,NA,2/14/17,98000,27808,city,Wayne
179 Union Ave,7011,Clifton,NJ,Passaic,40.875489,-74.146701,MultiFamily5Plus,2015,278749,1910,4356,NA,1,2,2/14/17,270000,24120,city,Clifton
72 E 8th St,7011,Clifton,NJ,Passaic,40.887532,-74.135058,SingleFamily,2015,252606,1940,3049,NA,2,3,2/14/17,215000,24120,city,Clifton
8603 Brittany Dr,7470,Wayne,NJ,Passaic,40.965827,-74.239547,Condominium,2015,330927,1993,NA,NA,3,2,2/14/17,325000,27808,city,Wayne
14 Falls Bridge Dr # 158A,7512,Totowa,NJ,Passaic,40.8916,-74.234462,Condominium,2015,232900,1986,41696,1188,NA,NA,2/14/17,275000,27446,city,Totowa
1 Courter Ave,7470,Wayne,NJ,Passaic,40.905413,-74.266642,SingleFamily,2015,352039,1900,9626,1800,1.5,6,2/14/17,400000,27808,city,Wayne
305 Preakness Ave,7502,Paterson,NJ,Passaic,40.920376,-74.192955,MultiFamily2To4,2015,195144,NA,2500,1888,NA,NA,2/14/17,235000,182086,neighborhood,Hillcrest
123 E 7th St,7011,Clifton,NJ,Passaic,40.88731,-74.13771,SingleFamily,2015,223106,1950,5001,NA,2,4,2/13/17,330000,24120,city,Clifton
6 Cambridge Pl,7470,Wayne,NJ,Passaic,40.935241,-74.209007,Townhouse,2015,469866,1990,5227,NA,3,3,2/13/17,510000,27808,city,Wayne
1591 Deer Path,7092,Mountainside,NJ,Union,40.673081,-74.380543,SingleFamily,2015,815450,1977,30056,NA,3,4,5/3/17,699900,39910,city,Mountainside
719 Colonial Arms Rd,7083,Union,NJ,Union,40.680218,-74.248453,SingleFamily,2015,276045,1956,5662,2000,2,3,5/2/17,369000,20883,city,Union
91 Passaic Ave,7901,Summit,NJ,Union,40.719699,-74.384132,SingleFamily,2015,456862,1954,8712,1,2,3,5/2/17,605000,27319,city,Summit
311 Baker Ave,7090,Westfield,NJ,Union,40.661429,-74.3444,SingleFamily,2015,935587,1952,11325,NA,3,4,5/2/17,925000,27896,city,Westfield
618 Maple St,7090,Westfield,NJ,Union,40.659373,-74.346008,SingleFamily,2015,530815,1922,6534,NA,3,4,5/1/17,720800,27896,city,Westfield
1045 Norton Rd,7083,Union,NJ,Union,40.690982,-74.246535,SingleFamily,2015,324897,1929,7840,8000,3,5,4/28/17,395000,20883,city,Union
12 Green Hickory Hl,7076,Scotch Plains,NJ,Union,40.620516,-74.362507,SingleFamily,2015,821972,1978,40946,3400,4,5,4/28/17,775000,20391,city,Scotch Plains
17 Princeton Rd,7016,Cranford,NJ,Union,40.668243,-74.3215,SingleFamily,2015,566113,1960,10890,2600,3,3,4/28/17,599900,31092,city,Cranford
16 Burnside Ave,7016,Cranford,NJ,Union,40.652506,-74.311941,SingleFamily,2015,293471,1904,5662,1280,2,3,4/28/17,435000,31092,city,Cranford
100 Park Ave,7901,Summit,NJ,Union,40.712987,-74.349403,SingleFamily,2015,368127,2013,4900,1200,2,3,4/28/17,440000,27319,city,Summit
11 Lenox Rd,7901,Summit,NJ,Union,40.718372,-74.347374,SingleFamily,2015,2679929,1914,34412,4868,7,8,4/28/17,2300000,27319,city,Summit
2173 Whittier St,7065,Rahway,NJ,Union,40.617856,-74.272306,SingleFamily,2015,193297,1940,7313,1192,1,3,4/28/17,139000,8854,city,Rahway
1811 1st St,8812,Dunellen,NJ,Union,40.598472,-74.458396,SingleFamily,2015,244019,1961,7405,NA,2,3,4/28/17,170000,33445,city,Plainfield
1515 Dewitt Ter,7036,Linden,NJ,Union,40.636399,-74.272427,SingleFamily,2015,274712,1950,7858,1500,1,4,4/28/17,249900,36718,city,Linden
714 Harrison Pl,7036,Linden,NJ,Union,40.639464,-74.251451,SingleFamily,2015,258208,1955,6534,2020,3,4,4/28/17,308000,36718,city,Linden
120 Oak Ridge Ave,7901,Summit,NJ,Union,40.705344,-74.360393,SingleFamily,2015,1977872,1936,11761,NA,7,6,4/28/17,1515000,27319,city,Summit
564 Mountain Ave,7081,Springfield,NJ,Union,40.695383,-74.32711,SingleFamily,2015,423472,1985,10018,NA,3,3,4/28/17,460000,41030,city,Springfield
736 Norgate,7090,Westfield,NJ,Union,40.635231,-74.349342,SingleFamily,2015,867992,1958,14374,NA,3,4,4/28/17,970000,27896,city,Westfield
419 Everson Pl,7090,Westfield,NJ,Union,40.642153,-74.340938,SingleFamily,2015,603976,1925,8712,2321,3,5,4/28/17,835000,27896,city,Westfield
854 Standish Ave,7090,Westfield,NJ,Union,40.666126,-74.352237,SingleFamily,2015,1209542,1920,13503,3929,NA,0,4/28/17,1275000,27896,city,Westfield
1365 Boynton Ave,7090,Westfield,NJ,Union,40.640256,-74.322953,SingleFamily,2015,672366,1956,10890,3000,4,4,4/28/17,716000,27896,city,Westfield
56 Sagamore Dr,7974,New Providence,NJ,Union,40.692043,-74.406488,SingleFamily,2015,532149,1963,17859,2010,3,4,4/28/17,720000,46727,city,New Providence
41 Craig Pl,7016,Cranford,NJ,Union,40.665464,-74.304298,SingleFamily,2015,354083,1926,4791,1120,2,3,4/28/17,450000,31092,city,Cranford
1015 Lincoln St,7036,Linden,NJ,Union,40.642979,-74.250913,SingleFamily,2015,148714,1952,2252,648,2,2,4/28/17,80255,36718,city,Linden
1125 Lincoln Ave,7076,Scotch Plains,NJ,Union,40.638315,-74.374188,SingleFamily,2015,415798,1997,4791,NA,3,4,4/28/17,505000,20391,city,Scotch Plains
843 Liberty Ave,7083,Union,NJ,Union,40.701863,-74.297667,SingleFamily,2015,230724,1950,6098,NA,2,2,4/28/17,190000,20883,city,Union
