street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
1621 Long Hill Rd,7946,Millington,NJ,Morris,40.677604,-74.512568,SingleFamily,2015,462006,1953,27225,1501,2,2,4/21/17,370000,397220,city,Long Hill Township
28 Sterling Dr,7928,Chatham,NJ,Morris,40.748828,-74.432765,Townhouse,2015,1310199,2008,22303,3500,5,3,4/21/17,1262500,397771,city,Chatham Township
7 Court Pl,7940,Madison,NJ,Morris,40.761923,-74.400599,SingleFamily,2015,576027,1949,11325,1423,2,3,4/21/17,656000,53105,city,Madison
57 Jesse Ct,7045,Montville,NJ,Morris,40.903953,-74.382797,Condominium,2015,536951,1991,NA,2608,3,3,4/21/17,585000,43583,city,Montville
78 Ogden Ave,7866,Rockaway,NJ,Morris,40.901369,-74.504808,SingleFamily,2015,300184,1927,13499,1716,2,3,4/21/17,255000,396484,city,Rockaway Township
78 Red Oak Ter,7438,Oak Ridge,NJ,Morris,41.034536,-74.508565,Condominium,2015,187976,1988,871,1228,2,2,4/21/17,195000,12117,city,Jefferson Township
40 Prospect Ave,7444,Pompton Plains,NJ,Morris,40.97171,-74.30081,SingleFamily,2015,395581,1949,8712,2039,2,4,4/21/17,485000,NA,NA,NA
78 Red Oak Ter,7438,Oak Ridge,NJ,Morris,41.034536,-74.508565,Condominium,2015,187976,1988,871,1228,2,2,4/21/17,195000,12117,city,Jefferson Township
33 Mountain Ave,7444,Pompton Plains,NJ,Morris,40.976748,-74.300869,SingleFamily,2015,546526,1962,17859,NA,3,4,4/21/17,568000,NA,NA,NA
34 Marshall Ave,7866,Rockaway,NJ,Morris,40.900214,-74.518982,SingleFamily,2015,508711,1997,18151,2607,4,4,4/21/17,370000,396484,city,Rockaway Township
44 Henning Ter,7834,Denville,NJ,Morris,40.860596,-74.506935,Townhouse,2015,525940,2004,NA,2116,4,3,4/21/17,493000,29899,city,Denville
28 Drake Rd,7945,Mendham,NJ,Morris,40.777362,-74.584901,SingleFamily,2015,575777,1968,44866,2049,3,4,4/21/17,597000,397829,city,Mendham Township
12 Salisbury Ln,7853,Long Valley,NJ,Morris,40.814078,-74.778137,SingleFamily,2015,729100,1998,63597,4408,5,4,4/21/17,750000,49769,city,Long Valley
20126 Westview,7885,Wharton,NJ,Morris,40.90971,-74.585818,Condominium,2015,214491,1983,NA,NA,2,2,4/21/17,220000,9195,city,Wharton
17 Trade Winds Dr,7869,Randolph,NJ,Morris,40.862958,-74.596262,SingleFamily,2015,507386,1992,24829,NA,3,4,4/21/17,485000,13437,city,Randolph
20 Burnett Dr,7930,Chester,NJ,Morris,40.812955,-74.634841,SingleFamily,2015,475254,1967,59677,2860,2,4,4/21/17,544000,395751,city,Chester Township
14 Lenape Way,7869,Randolph,NJ,Morris,40.827135,-74.621634,SingleFamily,2015,312938,1958,18073,1617,2,3,4/21/17,375000,13437,city,Randolph
23 Brock Ln,7840,Hackettstown,NJ,Morris,40.851276,-74.791418,Condominium,2015,276600,2003,NA,1807,3,3,4/21/17,285000,397185,city,Mt Olive Township
15 Mohican Ave,7850,Landing,NJ,Morris,40.91717,-74.645381,SingleFamily,2015,216649,NA,26136,NA,1,3,4/21/17,178500,398431,city,Roxbury Township
122 Lazarus Dr,7852,Ledgewood,NJ,Morris,40.883286,-74.675292,SingleFamily,2015,545510,2000,12632,3036,2.5,4,4/21/17,469000,398431,city,Roxbury Township
62 Indian Spring Rd,7828,Budd Lake,NJ,Morris,40.878411,-74.762278,SingleFamily,2015,550000,2001,43560,3908,4,4,4/21/17,557000,35236,city,Budd Lake
25 Alexander Ave,7940,Madison,NJ,Morris,40.75901,-74.40846,SingleFamily,NA,NA,1924,9147,3117,4,3,NA,NA,53105,city,Madison
28 Mountainview Rd,7928,Chatham,NJ,Morris,40.706936,-74.431599,SingleFamily,2015,408586,2016,10018,4095,5,5,4/20/17,1382000,397771,city,Chatham Township
86 Patriots Rd,7950,Morris Plains,NJ,Morris,40.855075,-74.491156,Townhouse,NA,NA,1982,NA,NA,2.5,3,NA,NA,396009,city,Parsippany-Troy Hills Township
