street,zip_code,city,state,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
68 Liberty St,07644,Lodi,NJ,40.875274,-74.083334,MultiFamily2To4,2015,370154.0,1922,6299,1995,2.0,4,04/21/2017,329000,53018,city,Lodi
11 Grandview Ter,07670,Tenafly,NJ,40.927517,-73.956294,SingleFamily,2015,762827.0,1956,9701,2035,N/A,N/A,04/21/2017,1500000,47961,city,Tenafly
702 Bergen Blvd,07657,Ridgefield,NJ,40.831604,-73.991868,MultiFamily2To4,2015,744516.0,2006,5001,2984,5.0,6,04/27/2017,625000,22330,city,Ridgefield
55 Park Ave,07642,Hillsdale,NJ,41.003284,-74.03984,SingleFamily,2015,328001.0,1900,N/A,N/A,1.0,3,04/21/2017,355000,5169,city,Hillsdale
14 Linden Ter,07605,Leonia,NJ,40.860821,-73.983414,SingleFamily,2015,412329.0,N/A,N/A,N/A,2.0,3,04/21/2017,505000,12368,city,Leonia
279 Grand Ave,07605,Leonia,NJ,40.862063,-73.993891,SingleFamily,2015,353319.0,1960,5650,1331,N/A,0,04/21/2017,440000,12368,city,Leonia
51 Myrtle Ave,07020,Edgewater,NJ,40.836912,-73.971511,Condominium,2015,461100.0,2017,5001,3000,5.0,3,04/21/2017,1180000,9859,city,Edgewater
14 Large Ave,07642,Hillsdale,NJ,41.006014,-74.031615,SingleFamily,2015,502172.0,1961,17621,1510,3.0,3,04/21/2017,481777,5169,city,Hillsdale
114 Colony Ave,07656,Park Ridge,NJ,41.043298,-74.047083,MultiFamily2To4,2015,403351.0,N/A,N/A,N/A,2.0,4,04/21/2017,377000,53809,city,Park Ridge
39 Gunther Ave,07644,Lodi,NJ,40.892379,-74.07752,SingleFamily,2015,293992.0,1953,5049,1413,2.0,4,04/21/2017,315000,53018,city,Lodi
645 Summit Ave,07601,Hackensack,NJ,40.905508,-74.051581,SingleFamily,2015,739632.0,1900,N/A,N/A,5.0,4,04/21/2017,485000,38835,city,Hackensack
16 Florence Rd,07640,Harrington Park,NJ,40.982636,-73.984215,SingleFamily,2015,530840.0,1950,N/A,N/A,3.0,4,04/21/2017,725000,25045,city,Harrington Park
224 Macarthur Ave,07026,Garfield,NJ,40.874845,-74.097913,MultiFamily2To4,2015,222808.0,1940,N/A,N/A,2.0,3,04/25/2017,223000,42213,city,Garfield
130 E Edsall Ave,07650,Palisades Park,NJ,40.841784,-73.997114,SingleFamily,2015,378720.0,1940,3598,1119,2.0,3,04/21/2017,343000,19819,city,Palisades Park
92 Spring Valley Rd,07652,Paramus,NJ,40.923914,-74.058299,SingleFamily,2015,1085541.0,1989,63510,8000,6.0,6,04/21/2017,1120000,46984,city,Paramus
293 Herman St,07601,Hackensack,NJ,40.910453,-74.041418,SingleFamily,2015,378838.0,1936,14664,1782,N/A,N/A,09/22/2016,290000,38835,city,Hackensack
210 Elm Ave,07601,Hackensack,NJ,40.906232,-74.048921,SingleFamily,2015,356535.0,1900,4791,N/A,2.0,3,N/A,N/A,38835,city,Hackensack
139 Bonhomme St,07601,Hackensack,NJ,40.873089,-74.043924,MultiFamily2To4,2015,351490.0,1900,4800,1854,2.0,4,11/21/2016,360000,38835,city,Hackensack
83 S Prospect Ave,07601,Hackensack,NJ,40.881137,-74.060998,SingleFamily,2015,263955.0,1900,N/A,N/A,2.0,3,03/28/2017,315000,38835,city,Hackensack
443 Maple Hill Dr,07601,Hackensack,NJ,40.897751,-74.056495,SingleFamily,2015,278188.0,1953,7749,1344,1.0,3,01/18/2017,350000,38835,city,Hackensack
314A 3rd St # 314A,07601,Hackensack,NJ,40.891673,-74.051413,SingleFamily,2015,366846.0,2006,4064,1915,N/A,N/A,03/18/2008,440000,38835,city,Hackensack
110 Clinton Pl,07601,Hackensack,NJ,40.896474,-74.043441,SingleFamily,2015,304192.0,1916,9147,1811,4.0,4,04/05/2017,430000,38835,city,Hackensack
140 Euclid Ave,07601,Hackensack,NJ,40.898196,-74.044566,SingleFamily,2015,558507.0,1986,255366,N/A,N/A,N/A,04/05/2017,246000,38835,city,Hackensack
326 Parker Ave,07601,Hackensack,NJ,40.881824,-74.05839,MultiFamily2To4,2015,375365.0,N/A,N/A,N/A,2.0,5,02/06/2017,359000,38835,city,Hackensack
259 1st St,07601,Hackensack,NJ,40.88937,-74.049951,MultiFamily2To4,2015,316857.0,1926,5101,2164,3.0,3,01/31/2017,260000,38835,city,Hackensack
273 Jackson Ave,07601,Hackensack,NJ,40.869513,-74.04275,MultiFamily2To4,2015,369424.0,1936,5171,2330,4.0,5,02/17/2017,386000,38835,city,Hackensack
