street,zip_code,city,state,county,latitude,longitude,use_code,tax_assessment_year,tax_assessment,year_built,lot_size_sqft,finished_sqft,bathroom,bedrooms,last_sold_date,last_sold_price,region_id,region_type,region_name
1112 Thompson Ave,7203,Roselle,NJ,union,40.649921,-74.244762,Townhouse,2016,226777,1928,3484,2200,1,2,2/9/17,280000,13593,city,Roselle
821 S Park Ave,7036,Linden,NJ,union,40.643966,-74.22392,SingleFamily,2015,240639,1953,6534,NA,3,4,2/9/17,225000,36718,city,Linden
261 Valley Rd,7066,Clark,NJ,union,40.625687,-74.292718,SingleFamily,2015,258755,1951,5662,NA,1,3,2/9/17,285000,10836,city,Clark
184 Tooker Ave,7081,Springfield,NJ,union,40.710181,-74.322485,SingleFamily,2015,328202,1934,9039,2500,3,4,2/9/17,550000,41030,city,Springfield
316 Westfield Ave,7208,Elizabeth,NJ,union,40.666147,-74.22887,MultiFamily2To4,2015,206661,1911,5227,1818,2,4,2/9/17,160000,31388,city,Elizabeth
64 Rosewood Ter,7036,Linden,NJ,union,40.642594,-74.274926,SingleFamily,2015,399822,NA,13068,1750,NA,NA,2/9/17,525000,36718,city,Linden
17 Fairview Ave,7974,New Providence,NJ,union,40.69643,-74.418722,SingleFamily,2015,447103,1948,11325,2400,3,3,2/9/17,522500,46727,city,New Providence
408 W Dudley Ave,7090,Westfield,NJ,union,40.648983,-74.36177,SingleFamily,2015,483101,2016,10454,1508,5,5,2/9/17,1150000,27896,city,Westfield
325 Princeton Ave,7065,Rahway,NJ,union,40.602551,-74.299877,SingleFamily,2015,245811,1955,4791,1116,2,3,2/9/17,525000,8854,city,Rahway
1657 Oliver St,7065,Rahway,NJ,union,40.613064,-74.279218,SingleFamily,2015,181724,1935,3484,1128,1.5,2,2/8/17,95000,8854,city,Rahway
48 Fairfield Ave,7016,Cranford,NJ,union,40.638736,-74.312817,SingleFamily,2015,415165,1956,7532,1530,2,3,2/8/17,450000,31092,city,Cranford
1021 Plainfield Ave,7922,Berkeley Heights,NJ,union,40.661182,-74.423758,SingleFamily,2015,380944,1950,68824,NA,3,3,2/8/17,400000,28407,city,Berkeley Heights
1063 Bond St,7201,Elizabeth,NJ,union,40.668861,-74.206349,MultiFamily2To4,2015,154428,1902,2500,NA,2,5,2/8/17,165000,31388,city,Elizabeth
835 Raritan Rd,7076,Scotch Plains,NJ,union,40.602698,-74.386238,SingleFamily,2015,815959,2001,24829,3500,4,5,2/8/17,645000,20391,city,Scotch Plains
309 Kennedy Dr,7036,Linden,NJ,union,40.624623,-74.247727,MultiFamily2To4,2015,312689,1966,4356,2500,2,6,2/8/17,365000,36718,city,Linden
825 Lindegar St,7036,Linden,NJ,union,40.630265,-74.268737,SingleFamily,2015,314996,1958,6000,2304,4,4,2/7/17,365000,36718,city,Linden
162 W Hazelwood Ave,7065,Rahway,NJ,union,40.603486,-74.283939,SingleFamily,2016,212601,1960,9147,1440,3,3,2/7/17,309000,8854,city,Rahway
906 Jersey Ave,7202,Elizabeth,NJ,union,40.660375,-74.239731,SingleFamily,2015,271764,1915,6534,NA,2.1,4,2/7/17,303000,13593,city,Roselle
10 Carsam St,7023,Fanwood,NJ,union,40.636769,-74.378811,SingleFamily,2015,349260,1952,7405,NA,1,3,2/7/17,302000,42402,city,Fanwood
635 Golf Ter,7083,Union,NJ,union,40.687632,-74.259095,SingleFamily,2015,240730,1940,5022,1500,2,2,2/8/17,240000,20883,city,Union
2248 Newark Ave,7076,Scotch Plains,NJ,union,40.643584,-74.365996,SingleFamily,2015,462711,1956,6098,2232,3,4,2/7/17,512000,20391,city,Scotch Plains
21 Acorn Dr,7901,Summit,NJ,union,40.700868,-74.384784,SingleFamily,2015,480374,NA,10629,NA,2,4,2/6/17,475000,27319,city,Summit
1527 Brookside Dr,7083,Union,NJ,union,40.691328,-74.249652,SingleFamily,2015,389641,1983,5662,2653,3,5,2/6/17,289764,20883,city,Union
39 Locust Grove Dr,7066,Clark,NJ,union,40.610228,-74.333029,SingleFamily,2015,381971,1953,10358,1257,2,2,2/6/17,400000,10836,city,Clark
920 Main St,7065,Rahway,NJ,union,40.598379,-74.277139,MultiFamily2To4,2015,251684,1953,4356,1514,NA,0,2/6/17,246000,8854,city,Rahway
23 Valemont Way,7901,Summit,NJ,union,40.706335,-74.354414,SingleFamily,2015,557443,1969,6708,2310,3,4,2/7/17,702000,27319,city,Summit
898 Broad St,7065,Rahway,NJ,union,40.601842,-74.283042,SingleFamily,2016,179205,1927,4503,1262,2,3,2/6/17,249000,8854,city,Rahway
220 Leland Ave,7062,Plainfield,NJ,union,40.633597,-74.40802,SingleFamily,2015,178698,1921,5810,1356,1,3,2/5/17,90000,33445,city,Plainfield
17 Edward Ter,7083,Union,NJ,union,40.714035,-74.269893,SingleFamily,2015,235433,NA,6534,NA,2,3,2/5/17,305000,22667,neighborhood,Vauxhall
2390 Richmond St,7076,Scotch Plains,NJ,union,40.653932,-74.373515,SingleFamily,2015,287891,1979,5227,1704,3,4,2/6/17,430000,20391,city,Scotch Plains
76 Shady Ln,7023,Fanwood,NJ,union,40.643144,-74.373341,SingleFamily,2015,429049,1958,7840,1530,1.5,3,2/5/17,500000,42402,city,Fanwood
